kn_individu_national,dc_sexe_id,annee_naissance0,dc_nationalite,dc_lblnationalite,kn_idcartevisite,dc_titre,dc_accroche,dc_etatcartevisite_id,dc_rome_id,dc_appellationrome_id,dn_dureecontratmin,dn_dureecontratmax,dn_remuneration,dc_unitesalaire_id,dd_datemodifemploirech,dc_domainemetier_id,dc_qualificationmetier_id,dc_lblqualificationmetier,dn_dureeexperience,dc_uniteduree_experience_id,dc_uniteduree_travail_id,dn_mobilitehabitation,dc_unitemobilite_hab_id,kd_datemodification_cv,libre_1,libre_2,libre_3,libre_4,libre_5,libre_6,libre_7,libre_8,libre_9,libre_10,savoir_1,savoir_2,savoir_3,savoir_4,savoir_5,savoiretre_1,savoiretre_2,savoiretre_3,savoirfaire_1,savoirfaire_2,savoirfaire_3,savoirfaire_4,savoirfaire_5,langue_1,langue_2,langue_3,permis_1,permis_2,permis_3,kc_nationalite,kc_qualificationmetier
1860a11ccd56330f09e979f05afeace29509db0c0cd9d16a9c8dc3c21dc1e454,F,1959,1,FRANCAISE,a0fcfe0d8b435eb143d99f918696d41040b5e7b772feb432877b8a9308c7fbf7,12 ans d'expérience,Après avoir créé et commercialisé pendant une vingtaine d'années une gamme de produits régionaux j'envisage actuellement une réorientation de ma vie professionnelle qui me permettra de valoriser l'expérience les compétences acquises,3,D1507,14811,0,0,10.15,H,2020-12-02T11:49:56.000Z,,6,Employé qualifié,12,AN,MO,30,KM,2021-10-11T20:50:08.510Z,normes HACCP,vente-conseil en magasin de proximité,informations tourisme sites activités manifestations,cuisson pains et viennoiseries,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
4fc0862865b323d9273afd5de23d31f14dc1fbe2ed85cb9c4162dedf0f580ee9,F,1988,1,FRANCAISE,71e0122daf212114d825ba16906e51f21c07008e42e207a4b12438d1edc2ab6d,chauffeur livreuse 4 ans d'expérience dans la messagerie,4 ans d'expérience dans la livraison en messagerie petits colis dynamique consciencieuse je recherche un travail dans la livraison livraison type pharmacie banque laboratoire courriers prospectus Port de charge 10 kg par colis,3,N4105,11999,0,0,1650.0,M,2021-10-25T14:30:50.823Z,,6,Employé qualifié,4,AN,MO,30,KM,2021-10-25T14:30:50.837Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
d6a90614033e901524288f6359a786aa6ab03380797c513e187927e9895de80d,F,1999,1,FRANCAISE,23e9abb54a1e06064b7aad13117d729fd20169e03c0f471d4ada615390436086,Conseiller en vente,3 ans d expérience dans le métier de la vente avec des activités encaissement relation avec la clientèle mise en place des vitrine et faire du merchandisings,3,D1214,20613,0,0,10.15,M,2021-03-22T10:01:00.000Z,,5,Employé non qualifié,1,MO,MO,20,KM,2021-03-24T02:28:52.400Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
c869fdf80f6d43cdede518699d0246683369835273ac14795af38b7260ff31ab,F,1999,1,FRANCAISE,bb44ddd3d1ed672a1c8658bc1595555ba73374fd6e240676a2e3dc62e55b3fa0,Secrétaire de formation 1 an d'expérience,Titulaire d'un baccalauréat en Gestion-Administration puis par suite ayant suivi une formation dans l immobilier commercial je possède diverses expériences dans différents secteur médical automobile immobilier Très bonne maîtrise des outils bureautiques aisance orale et écrite,3,M1609,19397,,,9.88,M,2020-09-14T17:07:29.000Z,,,,1,AN,,1,H,2021-01-28T02:05:19.964Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
59e597ed96b28e711e63ba08b3506faa928e5ac09c4e8735277e778b301b61ed,F,1989,32,MAROCAINE,8cc80610b755b3ae864939b9b916bbbbf82d910e580973979e9420e362489a69,Je suis capable d'identifier facilement les besoins des clients dans le but d'optimiser les ventes tout en assurant un service de qualité qui garantit une expérience inoubliable,Proactive organisée et résiliente J apprécie spécialement l univers dynamique de la distribution où j ai travaillé presque 3 ans,3,M1703,11202,,,26000.0,A,2021-03-11T08:24:11.000Z,,,,0,,,1,H,2021-04-02T03:22:06.737Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,
c7a0bfe836aa753ebfdf8afdc786e3d317bc1045cdc6b4abeec17e1194297058,F,1983,1,FRANCAISE,e4629d4e6f35cc5d50703d911db469d30a37c426f09f924f540e3b5e39bf3024,Vendeuse Conseillère,Dynamique sérieuse et volontaire avec une facilité d'adaptation pour le travail en équipe,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
fe6cc5d0a61696b10db1805fc66f10dcb7d3c36338dc6bb36c4ccface3fba640,F,1986,1,FRANCAISE,b23b4fcdd81c525f924efc47cd02e38f4e281172d7031bd688f5647efdf7cd74,Vendeuse en prêt à porter,Je suis disponible immédiatement également le soir et les weekends Je possède le permis et un véhicule personnel,3,D1214,20613,0,0,10.25,H,2021-08-10T12:38:45.000Z,,5,Employé non qualifié,3,MO,MO,20,KM,2021-10-02T09:56:48.792Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
bf63638354789d8d71db0eef274f9c4b9e222e385148562cff8ad4c2b0da2f03,M,1995,1,FRANCAISE,ab3b30495d656b2b0fdb673ac7ac413e6749e9030bc1749af2e836795376f60f,Ingénieur maintenance et travaux neufs,De formation pluridisciplinaire et avec de l'expérience dans la production je sais mener des projets et mobiliser une équipe L'adaptation et le développement sont mes points forts Poussé par ma curiosité et je suis motivé par le développement de mes connaissances techniques et générales,5,I1102,15829,,,3000.0,M,2021-04-15T01:49:49.370Z,,6,Employé qualifié,4,AN,,100,KM,2021-04-15T01:49:49.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
29f9ec179deed0edea8f4c0afc9208d31930b2d8067db7ed2925653672fef22c,F,1967,1,FRANCAISE,50c832af3f02a7a98527180c27dea0ca10e0ce0afb0d2e72be6219bf0c2363b5,Assistante Comptable,J'ai une expérience de plus de 30 ans dans plusieurs secteurs d'activité Je suis discrète autonome et rigoureuse dans mon travail,3,M1203,11213,,,14.0,H,2021-08-06T04:59:43.077Z,,6,Employé qualifié,30,AN,,15,KM,2021-08-06T04:59:43.082Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
4db397c76d04bf422bc2f72424a8536dc6779a038cbf5d4c05a01e8d1d21fb8c,M,1999,1,FRANCAISE,7930f812a7e442be33ad8ed32ea2585ba1055ac4e1c52e6759d1a3b028dcf21c,Vendeur,Nombreuses expériences parmis plusieurs secteurs de vente textiles librairie disquaire jardinerie,5,D1209,20589,,,10.25,M,2021-06-23T07:11:19.000Z,,6,Employé qualifié,4,MO,,0,MN,2021-06-26T00:52:54.903Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
81205854d0f13c00fc1b391a9a8ef6630d4eb302fb046e28b4130e53f372b732,F,1987,1,FRANCAISE,37de0e3f35ea40dedefb53613dc268e60e43f362e2684a02abc34e19993e88f2,Marchande ambulante,Jeune auto entrepreneuse depuis mars 2019 je propose des produits alimentaires et cosmétiques bretons sur les foires salons et marchés du secteur de saint-brieuc,3,D1106,20540,,,,M,,,6,Employé qualifié,1,AN,,20,KM,2021-09-02T12:32:03.573Z,Maitrise les techniques commerciales et relationnelles,Assure des services du conseil la gestion en relation client,Maitrise les techniques de la relation client,,,,,,,,Argumentation commerciale,,,,,,,,,,,,,,,,,,,1,6
a83cc78115f14b1adb32f2f95440c1917e6993657682666608368432e8487e72,F,1995,1,FRANCAISE,64e57f9408ca0226c8b42cafe75c71ba8ebdc040092bfbfef389a3c829c4bcdb,esthéticienne diplômée en BTS des métiers de l'esthétique cosmétique parfumerie option manager,Différences expériences dans le domaine notamment en parfumerie SPA institut maison de retraite Très bonne maîtrise dans les soins corps et visage appareil visage LPG manucure pose de semi permanent Bonne praticienne en maquillage grâce à mon titre de meilleur apprenti de France national Bonne relation client apporte des conseils en vente de produits soins spécifiques analyse des besoins,3,D1208,38008,0,0,1530.0,M,2021-05-27T14:27:56.621Z,,6,Employé qualifié,2,MO,MO,15,MN,2021-05-27T14:27:56.633Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
78fe76b36e319150cbf295dfbd31e3756518d07bdd636661b8d85fa70cff4f66,F,1995,1,FRANCAISE,0b5a05e2726838965083ee1dba802a362e08a40fe194b97b263c227eec60a5e8,Auxiliaire Petite Enfance,Expérience de 3 ans en tant qu'auxiliaire de crèche dans une structure accueillants des enfants de 2 mois et demi à 6 ans ce qui m'a permis d'acquérir des connaissances théoriques et pratiques Je suis motivée dynamique attentive et dévouée mon but est de réaliser des activités d'éveils et de soins visant au bien-être à l'autonomie et au développement de l'enfant J'ai le permis B véhicule,3,K1303,38633,,,10.03,H,2021-01-07T02:51:54.706Z,,6,Employé qualifié,3,AN,,30,MN,2021-01-07T02:51:54.712Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
13a81a54e39c9580844b53f965069955294743bf25959e1d94167f52eeee2f83,F,1971,1,FRANCAISE,509730da2244f49b5204ce58172140219cc3f33654fe29bb16d2150477cf20f0,Caissière en grande surface ou employé polyvalent,Madame Monsieur Etant actuellement à la recherche d'un emploi je me permets de vous proposer ma candidature au poste de caissière En effet mon profil correspond aux caractéristiques requises pour être une bonne caissière ayant un bon contact avec la clientèle de par mon expérience en tant que Bar woman en 2013 Je suis motivée a l'esprit d'équipe rigoureuse ponctuelle et disposé,3,D1505,15487,0,0,10.25,M,2021-07-26T10:21:26.000Z,,5,Employé non qualifié,0,AN,MO,10,KM,2021-11-10T12:03:54.327Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
98266478f1812f2e928687b01bb6d5b8dcf9139ca72fcbb11a588aa6162070b0,F,1955,1,FRANCAISE,2cbb7e7204572477dd41584fd9e1e4f771033feea350f9a43e79072f1c49e962,Culture et Patrimoine,Plus de 40 ans d'expérience dans le domaine culturel Expertise en Management de projet Coach en entreprise,3,K1802,14147,,,5000.0,M,2020-11-19T13:31:41.000Z,,9,Cadre,30,AN,,40,MN,2021-01-28T13:34:20.909Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
ca2f208b0bb3f8412f034cf60846d33c03cb07e151e7b8e5ac0d753e8632faec,F,1992,1,FRANCAISE,d493bd4fde4b3bdd743d7962fa497c02ab0457ee990d8b946ba70062828462fe,hotesse de caisse,Motivée souriante rigoureuse travail en équipe ou en autonomie sérieuse,3,D1505,15487,0,0,10.25,H,2021-07-13T04:37:24.543Z,,2,Ouvrier Spécialisé,1,AN,MO,10,KM,2021-07-13T04:37:24.556Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
ff3eceb5a1b0d0756558bac4019e0eca96e39437ed21b1e2cfda77570da572f0,F,1985,1,FRANCAISE,db9e0cea1267da259cecdd7219085143ee8efca323ad785658c1165aecceeb8e,ASSISTANTE DE SERVICE SOCIAL EXPERIMENTEE,Assistante sociale depuis 6 ans j'ai volontairement faire le choix de travailler dans différentes structures afin de parfaire mes connaissances dans de nombreux domaines de compétences polyvalence de secteur logement droits des étrangers protection de l'enfance Je vous laisse prendre le soin de découvrir mon CV A bientôt,3,K1201,11335,,,2430.0,M,2021-09-20T08:52:51.000Z,,5,Employé non qualifié,6,MO,,50,MN,2021-09-20T08:52:51.416Z,Patience,Capacité rédactionnelle,Adaptabilité,Respect du parcours de vie de chacun,,,,,,,Techniques d'écoute et de la relation à la personne,,,,,,,,,,,,,,,,,,,1,5
76910ef6e919d2a80fd4d3d16114c34b8cbbe90af3fa79949ad94f2e89146812,F,1996,1,FRANCAISE,7138eeb5e5de91d0e04c4f404097a1a9358caf1759cf0b8c62186c3ae2d4d73a,Auxiliaire de puériculture,Le domaine de la petite enfance est un domaine qui m'interresse beaucoup je suis très a l'aise avec le jeune public J'ai commencer par garder les enfants âgés de 6 mois à 3 ans puis des enfants de 1 ans à 11 ans,3,K1303,11180,0,0,10.0,H,2018-10-09T19:13:02.000Z,,5,Employé non qualifié,,,MO,15,KM,2021-03-16T04:11:12.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
d43bf632ca6e675db450296e34cdb8daaeff223374ab8fd99aa4a88be5beb1cb,F,1993,1,FRANCAISE,b008f6c206cb1653812f740a0756c812049c96fb932b72e8d6000501acdfe2c8,Nourrice,Organisée calme patiente à l'écoute des autres Je souhaite m'orienter vers le secteur de l'aide à la personne afin d'acquérir une expérience professionnelle au sein de votre structure et promouvoir avec l équipe et dans le respect des familles,3,K1303,16999,,,9.53,H,2017-12-10T23:00:00.000Z,,6,Employé qualifié,3,AN,,50,MN,2021-03-23T01:46:31.770Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
03a3e284070d2adb85997633d88bb1943f633f34de50812761b932916e5d34d9,M,1990,1,FRANCAISE,8799aa56118bf23c6fc5e56ec76725d2b954a313fa2b114a142661de922c38fd,Plombier,4 ans d'expérience dans le domaine de plomberie j'ai eu pas mal de contact auprès des clients et savoir gerer sont temps de travail,3,F1603,17837,0,0,9.88,M,2018-09-17T07:08:47.000Z,,4,"Ouvrier qualifié (P3,P4,OHQ)",4,AN,MO,20,KM,2021-04-15T13:57:28.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
