id_competence,lbl_competence,type_competence
100003,"Conduire les engins agricoles vers le lieu de production (champs, forêt), de stockage, de livraison (fermes, coopératives)",SavoirFaire
100007,Techniques de soudage,Savoir
100010,Utilisation d'engins forestiers,Savoir
100011,Techniques culturales,Savoir
100015,Normes environnementales,Savoir
100016,Gestes et postures de manutention,Savoir
100017,Règles de sécurité,Savoir
100018,Utilisation de débusqueur,Savoir
100019,Caractéristiques des écosystèmes,Savoir
100023,"Réaliser l'abattage des arbres désignés (positionnement des coins, tronçonnage de la base, ...) selon la trajectoire de chute voulue",SavoirFaire
100029,Techniques d'affûtage,Savoir
100030,Physiologie végétale,Savoir
100032,Techniques de taille de végétaux,Savoir
100033,Techniques de coupe et d'abattage,Savoir
100034,Techniques de grimper,Savoir
100035,Techniques d'haubanage,Savoir
100038,Chiffrage/calcul de coût,Savoir
100039,Techniques de soins aux arbres ou ceps,Savoir
100050,Réglementation des espaces et espèces protégés,Savoir
100051,Classification des espèces animales,Savoir
100057,Techniques de préservation de la biodiversité,Savoir
100058,"Sécuriser le chantier et son environnement (signalisation, ...)",SavoirFaire
100063,Tailler les arbres selon l'orientation de croissance ou la forme recherchée et supprimer les branches indésirables,SavoirFaire
100064,Utilisation d'engins de tonte (autotracté/autoporté),Savoir
100068,Etudier les évolutions de la faune et de la flore dans les milieux naturels,SavoirFaire
100069,"Surveiller un espace naturel pour la prévention des risques d'accidents, de pollution, d'incendie",SavoirFaire
100070,Diagnostiquer l'état d'un site et définir les priorités d'action au sein des milieux inventoriés,SavoirFaire
100071,"Déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels par réintroduction d'espèces, restauration de plages ...",SavoirFaire
100075,"Utilisation de matériel de capture (seringue hypodermique, ...)",Savoir
100076,Droit forestier,Savoir
100077,Droit rural,Savoir
100078,Réglementation de la pêche,Savoir
100079,Réglementation de la chasse,Savoir
100083,Réaliser des opérations de gestion des milieux aquatiques,SavoirFaire
100086,Techniques de comptage,Savoir
100087,Techniques de baguage,Savoir
100088,Techniques d'approche et de manipulation des animaux,Savoir
100089,Techniques d'inventaire,Savoir
100090,Techniques pédagogiques,Savoir
100091,Normes de sécurité des espaces et des établissements recevant du public,Savoir
100097,Lecture de carte,Savoir
100098,Techniques de marquage,Savoir
100100,Techniques d'élagage,Savoir
100102,Techniques de cubage,Savoir
100104,Agronomie,Savoir
100105,Pathologies végétales,Savoir
100111,"Concevoir les solutions technico-économiques (reprise d'exploitation, reconversion, ...) adaptées aux problématiques d'un site de production (environnement, pollution, rendements, ...)",SavoirFaire
100113,Logiciels de gestion de base de données,Savoir
100114,Agriculture biologique,Savoir
100118,Fiscalité,Savoir
100119,Typologie des risques environnementaux et sanitaires,Savoir
100120,Procéder à des études/expérimentations,SavoirFaire
100129,Code des marchés publics,Savoir
100130,Caractéristiques des produits chimiques,Savoir
100131,Biologie végétale,Savoir
100132,Biologie animale,Savoir
100133,"Identifier les priorités d'intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié",SavoirFaire
100135,"Relever les données de performance individuelle des animaux (quantité et qualité du lait, prise de poids, ...)",SavoirFaire
100136,"Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse",SavoirFaire
100140,"Utilisation d'outils de pesage/dosage (balance, verre doseur, ...)",Savoir
100141,Physiologie animale,Savoir
100142,Propriétés des produits vétérinaires,Savoir
100143,Traçabilité des produits,Savoir
100144,Règles d'hygiène et de sécurité,Savoir
100149,Pathologies animales,Savoir
100151,Réglementation sanitaire,Savoir
100158,Botanique,Savoir
100159,Climatologie,Savoir
100160,Hydrobiologie,Savoir
100161,Toxicologie,Savoir
100162,Génie rural,Savoir
100170,Techniques d'éclaircissage,Savoir
100205,Lecture de carte marine,Savoir
100213,Utilisation de matériel de levage,Savoir
100215,Circuits de distribution commerciale,Savoir
100230,Utilisation d'alcoomètre,Savoir
100232,Spécificités de stockage des vins,Savoir
100234,Techniques d'embouteillage,Savoir
100236,Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle,SavoirFaire
100238,"Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation",SavoirFaire
100239,Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche,SavoirFaire
100240,"Sécuriser l'embarcation (contrôle des équipements, identification des risques d'avarie) et mettre en oeuvre des moyens palliatifs",SavoirFaire
100243,Utilisation d'équipement de secours et de sauvetage,Savoir
100244,Typologie des navires,Savoir
100246,Règles de sécurité maritime,Savoir
100248,Droit maritime,Savoir
100249,Économie des pêches,Savoir
100251,"Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...)",Savoir
100252,Langage Morse,Savoir
100253,Anglais maritime,Savoir
100256,Dispenser les soins préventifs ou curatifs aux animaux,SavoirFaire
100259,Utilisation de matériel de nettoyage,Savoir
100261,Zootechnie,Savoir
100262,Procédures de nettoyage et de désinfection,Savoir
100263,Réaliser des déplacements nécessitant un certificat de transport d'animaux vivants,SavoirFaire
100264,Potentiel généalogique,Savoir
100266,Méthodes d'insémination,Savoir
100269,Procédures de traite,Savoir
100271,Techniques de toilettage,Savoir
100272,Techniques de maréchalerie,Savoir
100280,"Vérifier l'état de fonctionnement des équipements (chaudière, système d'extraction d'air, ...) et réaliser la maintenance de premier niveau des installations",SavoirFaire
100285,Annexes Convention de Washington (CITES),Savoir
100286,Techniques de soudure,Savoir
100290,Modalités de stockage,Savoir
100295,Préparer les aliments et les distribuer aux animaux,SavoirFaire
100298,Procédés d'accouvage,Savoir
100300,Répartir les animaux dans des locaux d'élevage ou en plein air,SavoirFaire
100302,Techniques de contention animale,Savoir
100303,Modalités de transport d'animaux,Savoir
100304,Procédure de traite,Savoir
100305,Techniques d'arrosage,Savoir
100307,Prélever les semences des verrats et les analyser en laboratoire,SavoirFaire
100310,Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs,SavoirFaire
100311,Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés,SavoirFaire
100314,Procéder au caillage du lait après sa mise en cuve,SavoirFaire
100318,Emprésurage du lait,Savoir
100319,Pressage manuel du caillé,Savoir
100320,Salage manuel,Savoir
100321,"Utilisation d'instruments de mesure (hygromètre, PH-mètre, ...)",Savoir
100322,Découpe manuelle de fromage,Savoir
100339,Composition de plateaux de fromages,Savoir
100340,Techniques de vente,Savoir
100341,Procédures d'encaissement,Savoir
100343,Législation sociale,Savoir
100347,"Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière, ...",SavoirFaire
100354,Types de cépages (ampélographie),Savoir
100356,Oenologie,Savoir
100357,Réglementation sur la production vinicole,Savoir
100358,Réglementation sur la production cidricole,Savoir
100359,Règles d'hygiène et de sécurité alimentaire,Savoir
100362,Procédures d'échantillonnage,Savoir
100367,Utilisation d'appareils de distillation (alambic),Savoir
100369,Vignobles et appellations,Savoir
100373,"Techniques d'assemblages de vins, de jus",Savoir
100376,Sommellerie,Savoir
100381,Argumentation commerciale,Savoir
100387,"Surveiller l'état de l'embarcation pendant la navigation, détecter les anomalies (avaries, ...) et en informer le maître d'équipage ou l'officier de quart",SavoirFaire
100388,Effectuer les manoeuvres d'accostage ou d'appareillage du bateau,SavoirFaire
100390,Manoeuvre du skiff,Savoir
100392,Techniques de matelotage,Savoir
100408,Identifier le motif de consultation et son degré d'urgence et informer le client sur les modalités de prise en charge de l'animal,SavoirFaire
100409,"Préparer et installer l'animal (désinfection, rasage, mise en cage, ...)",SavoirFaire
100410,"Préparer le matériel et apporter une aide technique au vétérinaire, à l'éleveur, ...",SavoirFaire
100414,Règles d'hygiène et d'asepsie,Savoir
100415,Intervenir auprès d'équidés,SavoirFaire
100416,Intervenir auprès d'animaux de compagnie,SavoirFaire
100417,"Intervenir auprès d'animaux de rapport (vaches, porcs, ...)",SavoirFaire
100418,Intervenir auprès d'animaux en captivité,SavoirFaire
100420,Règles de délivrance des médicaments vétérinaires,Savoir
